record_id,customer_id,timestamp,hour,day_of_week,month,is_weekend,season,customer_type,age,monthly_income_usd,household_size,home_area_sqft,appliance_count,has_solar_panel,has_ev,tariff_scheme,contract_type,temperature_c,humidity_percent,peak_hour,price_per_kwh,ac_usage_hours,heater_usage_hours,washing_machine_usage,lighting_usage_hours,cooking_usage_hours,entertainment_usage_hours,ev_charging_kwh,electricity_consumption_kwh,pricing_influence_score,weather_influence_score,appliance_influence_score,household_influence_score,previous_hour_consumption_kwh,previous_day_same_hour_consumption_kwh,rolling_24h_avg_consumption_kwh,consumption_behavior_category
5305,10001,2025-08-10 00:00:00,0,6,8,1,Summer,Residential,48,6089,6,588,21,0,0,Peak_Valley,Premium_Service,29.69,65.21,0,0.1141,0.708,0.014,0,0.531,0.0,0.165,0.0,1.873,3.09,6.028,1.065,4.368,2.068,1.997,1.997,Moderate_Usage
6344,10001,2025-09-22 07:00:00,7,0,9,0,Autumn,Residential,70,1177,4,741,14,1,0,Time_of_Use,Basic,27.67,54.58,1,0.1916,0.473,0.103,0,0.314,0.623,0.59,0.0,2.102,4.66,4.524,1.154,3.261,1.873,2.006,2.006,Moderate_Usage
6527,10001,2025-09-29 22:00:00,22,0,9,0,Autumn,Residential,60,5739,3,1770,22,0,0,Peak_Valley,Green_Energy,19.22,70.28,1,0.215,0.187,0.06,0,0.86,0.039,0.853,0.0,1.917,7.0,2.599,0.773,4.58,2.102,1.999,1.999,Moderate_Usage
6729,10001,2025-10-08 08:00:00,8,2,10,0,Autumn,Small_Commercial,50,7515,6,1584,16,0,0,Peak_Valley,Basic,28.22,53.26,1,0.2051,0.294,0.03,0,0.229,0.689,0.662,0.0,2.555,6.01,5.002,0.88,4.964,1.917,2.039,2.039,High_Usage
6787,10001,2025-10-10 18:00:00,18,4,10,0,Autumn,Residential,35,1569,2,525,22,0,1,Peak_Valley,Basic,22.06,73.03,1,0.2126,0.005,0.111,0,0.164,0.136,0.616,0.0,1.31,6.76,0.696,0.377,2.985,2.555,1.99,1.99,Low_Usage
7045,10001,2025-10-21 12:00:00,12,1,10,0,Autumn,Small_Commercial,35,7362,5,2460,15,0,0,Peak_Valley,Basic,32.02,45.17,0,0.1056,0.915,0.099,0,0.342,0.475,0.357,0.0,3.031,3.94,8.257,1.574,5.41,1.31,2.055,2.055,Peak_Intensive_Usage
7870,10001,2025-11-24 21:00:00,21,0,11,0,Autumn,Residential,50,6839,2,1577,25,0,1,Time_of_Use,Basic,17.53,87.55,1,0.2017,0.031,0.045,0,0.553,0.652,0.849,2.422,3.864,5.67,4.73,3.011,4.277,3.031,2.162,2.162,Peak_Intensive_Usage
8315,10001,2025-12-13 10:00:00,10,5,12,1,Winter,Residential,70,6675,7,1055,14,0,0,Peak_Valley,Premium_Service,12.98,72.9,0,0.1134,0.067,0.235,0,0.223,0.082,0.0,0.0,1.442,3.16,7.41,0.425,4.625,3.864,2.122,2.122,Low_Usage
9923,10001,2026-02-18 10:00:00,10,2,2,0,Winter,Residential,62,1414,6,1860,11,0,0,Dynamic_Pricing,Premium_Service,15.85,71.33,0,0.1199,0.167,0.107,1,0.297,0.175,0.179,0.0,2.113,2.51,5.179,0.963,4.84,1.442,2.121,2.121,Moderate_Usage
11400,10001,2026-04-20 23:00:00,23,0,4,0,Spring,Small_Commercial,47,715,4,954,11,0,1,Time_of_Use,Green_Energy,13.73,79.82,0,0.1405,0.063,0.298,0,0.972,0.15,0.348,1.95,3.657,0.45,7.193,2.677,3.234,2.113,2.198,2.198,Peak_Intensive_Usage
11518,10001,2026-04-25 21:00:00,21,5,4,1,Spring,Residential,57,6785,7,2030,13,0,0,Flat,Basic,16.45,60.66,1,0.1488,0.035,0.088,0,0.571,0.472,0.524,0.0,1.854,0.38,4.196,0.616,5.52,3.657,2.182,2.182,Moderate_Usage
11724,10001,2026-05-04 11:00:00,11,0,5,0,Spring,Residential,59,2712,1,687,7,1,0,Time_of_Use,Basic,32.4,55.96,0,0.1298,0.967,0.038,0,0.199,0.021,0.065,0.0,1.529,1.52,8.002,1.284,1.597,1.854,2.152,2.152,Low_Usage
12599,10001,2026-06-09 22:00:00,22,1,6,0,Summer,Residential,54,2061,5,1244,10,0,0,Flat,Green_Energy,24.89,63.0,1,0.1534,0.146,0.028,0,0.98,0.013,0.668,0.0,1.358,0.84,2.318,0.671,3.794,1.529,2.117,2.117,Low_Usage
14287,10001,2026-08-19 06:00:00,6,2,8,0,Summer,Residential,65,3153,3,855,24,0,0,Time_of_Use,Basic,31.13,55.42,0,0.1175,0.76,0.058,0,0.144,0.795,0.197,0.0,1.961,2.75,7.076,1.367,3.825,1.358,2.111,2.111,Moderate_Usage
14482,10001,2026-08-27 09:00:00,9,3,8,0,Summer,Residential,62,5928,2,1821,5,0,0,Time_of_Use,Basic,35.27,58.19,1,0.1958,1.0,0.088,0,0.064,0.187,0.668,0.0,2.264,5.08,10.043,1.55,2.921,1.961,2.058,2.12,High_Usage
70,10002,2025-01-03 21:00:00,21,4,1,0,Winter,Residential,72,3448,2,2395,11,1,0,Time_of_Use,Premium_Service,7.33,85.15,1,0.198,0.004,0.991,1,1.0,0.479,0.556,0.0,2.973,5.3,12.26,2.116,3.975,2.973,2.973,2.973,Peak_Intensive_Usage
220,10002,2025-01-10 03:00:00,3,4,1,0,Winter,Residential,74,2591,3,2270,12,0,0,Flat,Premium_Service,7.84,80.77,0,0.1438,0.004,1.0,0,0.659,0.171,0.117,0.0,2.082,0.12,11.658,1.347,4.28,2.973,2.528,2.528,Moderate_Usage
277,10002,2025-01-12 12:00:00,12,6,1,1,Winter,Small_Commercial,54,6491,6,503,21,0,0,Time_of_Use,Basic,15.04,75.18,0,0.1239,0.194,0.064,1,0.108,0.765,0.178,0.0,2.609,2.11,5.979,1.118,4.283,2.082,2.555,2.555,High_Usage
1854,10002,2025-03-19 05:00:00,5,2,3,0,Spring,Residential,48,4670,1,2418,9,0,0,Flat,Basic,20.1,48.28,0,0.1494,0.078,0.066,0,0.714,0.0,0.073,0.0,1.065,0.44,2.011,0.395,3.488,2.609,2.182,2.182,Low_Usage
1974,10002,2025-03-24 05:00:00,5,0,3,0,Spring,Residential,71,4814,5,764,24,0,0,Flat,Green_Energy,21.4,54.99,0,0.147,0.084,0.01,0,0.806,0.184,0.216,0.0,1.394,0.2,0.701,0.477,4.434,1.065,2.025,2.025,Low_Usage
2199,10002,2025-04-02 14:00:00,14,2,4,0,Spring,Residential,41,1366,1,2505,7,0,0,Flat,Green_Energy,28.94,55.19,0,0.1413,0.598,0.108,0,0.42,0.14,0.173,0.0,1.654,0.37,5.446,1.053,3.415,1.394,1.963,1.963,Moderate_Usage
5272,10002,2025-08-08 15:00:00,15,4,8,0,Summer,Residential,59,3287,3,1570,21,0,1,Time_of_Use,Premium_Service,37.04,61.37,0,0.1363,1.0,0.091,0,0.115,0.084,0.228,0.0,2.249,0.87,11.348,1.419,4.3,1.654,2.004,2.004,High_Usage
6988,10002,2025-10-19 03:00:00,3,6,10,1,Autumn,Residential,41,6772,4,2424,6,1,0,Dynamic_Pricing,Basic,15.16,80.18,0,0.1053,0.042,0.042,0,0.751,0.149,0.135,0.0,1.247,3.97,6.139,0.41,4.304,2.249,1.909,1.909,Low_Usage
7329,10002,2025-11-02 08:00:00,8,6,11,1,Autumn,Residential,52,2132,4,1791,16,0,0,Flat,Basic,26.89,64.33,1,0.1436,0.183,0.103,0,0.032,0.741,0.523,0.0,1.656,0.14,3.884,0.75,4.471,1.247,1.881,1.881,Moderate_Usage
8249,10002,2025-12-10 16:00:00,16,2,12,0,Winter,Residential,36,6034,5,1631,11,0,0,Peak_Valley,Basic,12.96,75.91,0,0.1233,0.029,0.369,0,0.078,0.204,0.053,0.0,1.44,2.17,7.575,0.536,4.261,1.656,1.837,1.837,Low_Usage
8306,10002,2025-12-13 01:00:00,1,5,12,1,Winter,Residential,54,5594,3,2040,5,0,0,Peak_Valley,Basic,3.43,80.22,0,0.123,0.118,1.0,0,0.595,0.0,0.095,0.0,2.175,2.2,14.938,1.394,3.49,1.44,1.868,1.868,Moderate_Usage
8715,10002,2025-12-30 02:00:00,2,1,12,0,Winter,Residential,24,6039,4,1424,6,0,0,Flat,Basic,8.82,73.39,0,0.1423,0.074,0.995,0,0.866,0.037,0.107,0.0,2.268,0.27,10.554,1.434,3.304,2.175,1.901,1.901,High_Usage
10536,10002,2026-03-15 23:00:00,23,6,3,1,Spring,Residential,57,6312,4,496,7,0,0,Time_of_Use,Basic,14.18,88.91,0,0.1254,0.029,0.428,0,0.653,0.158,0.327,0.0,1.398,1.96,7.31,0.822,2.456,2.268,1.862,1.862,Low_Usage
10624,10002,2026-03-19 15:00:00,15,3,3,0,Spring,Residential,61,5395,4,1503,23,0,0,Peak_Valley,Basic,29.11,67.45,0,0.1224,0.493,0.02,1,0.234,0.036,0.087,0.0,1.821,2.26,5.705,1.168,4.743,1.398,1.859,1.859,Moderate_Usage
10730,10002,2026-03-24 01:00:00,1,1,3,0,Spring,Residential,74,6822,2,1886,16,0,0,Time_of_Use,Green_Energy,15.18,59.82,0,0.1175,0.046,0.039,0,0.564,0.268,0.235,0.0,1.044,2.75,5.124,0.426,3.866,1.821,1.805,1.805,Low_Usage
13894,10002,2026-08-02 21:00:00,21,6,8,1,Summer,Residential,55,2884,5,703,19,0,0,Peak_Valley,Basic,23.81,56.79,1,0.2201,0.009,0.014,0,0.755,0.509,0.636,0.0,1.373,7.51,1.518,0.604,3.973,1.044,1.778,1.778,Low_Usage
14895,10002,2026-09-13 14:00:00,14,6,9,1,Autumn,Residential,72,4456,6,1152,9,0,0,Time_of_Use,Basic,31.28,67.37,0,0.1103,0.803,0.086,0,0.0,0.057,0.173,0.0,1.711,3.47,7.329,1.119,3.972,1.373,1.774,1.774,Moderate_Usage
909,10003,2025-02-07 20:00:00,20,4,2,0,Winter,Small_Commercial,67,4726,7,2560,9,0,0,Time_of_Use,Green_Energy,6.91,82.83,1,0.1993,0.084,1.0,0,0.677,0.528,0.771,0.0,3.504,5.43,12.459,1.747,5.73,3.504,3.504,3.504,Peak_Intensive_Usage
1537,10003,2025-03-06 00:00:00,0,3,3,0,Spring,Residential,53,1200,5,725,10,0,0,Time_of_Use,Basic,15.42,70.51,0,0.1247,0.074,0.119,0,0.641,0.106,0.091,0.0,0.987,2.03,5.461,0.469,3.275,3.504,2.246,2.246,Low_Usage
1595,10003,2025-03-08 10:00:00,10,5,3,1,Spring,Residential,41,3614,5,2059,24,0,0,Flat,Basic,30.1,54.76,0,0.1478,0.544,0.081,0,0.352,0.034,0.281,0.0,1.954,0.28,6.337,0.927,5.729,0.987,2.148,2.148,Moderate_Usage
2152,10003,2025-03-31 15:00:00,15,0,3,0,Spring,Residential,68,7121,2,1393,18,0,0,Peak_Valley,Basic,27.16,62.86,0,0.1083,0.312,0.075,0,0.389,0.199,0.112,0.0,1.321,3.67,4.013,0.673,3.533,1.954,1.942,1.942,Low_Usage
3836,10003,2025-06-09 19:00:00,19,0,6,0,Summer,Residential,34,5022,1,1183,11,0,0,Flat,Premium_Service,33.15,52.02,1,0.1415,1.0,0.064,0,0.879,0.417,0.611,0.0,2.791,0.35,8.761,1.842,2.413,1.321,2.111,2.111,Peak_Intensive_Usage
4011,10003,2025-06-17 02:00:00,2,1,6,0,Summer,Residential,28,3348,5,1421,6,0,0,Peak_Valley,Basic,24.89,73.7,0,0.1137,0.13,0.018,0,0.531,0.069,0.28,0.0,1.073,3.13,2.853,0.43,3.651,2.791,1.938,1.938,Low_Usage
4586,10003,2025-07-11 01:00:00,1,4,7,0,Summer,Residential,41,3251,6,2373,13,0,0,Time_of_Use,Green_Energy,24.93,60.53,0,0.123,0.194,0.102,0,0.8,0.123,0.135,0.0,1.476,2.2,2.224,0.66,5.513,1.073,1.872,1.872,Low_Usage
4790,10003,2025-07-19 13:00:00,13,5,7,1,Summer,Residential,66,6346,5,1779,8,0,0,Peak_Valley,Basic,41.01,66.88,0,0.1103,1.0,0.014,0,0.103,0.637,0.217,0.0,2.353,3.47,14.601,1.542,4.169,1.476,1.932,1.932,High_Usage
6750,10003,2025-10-09 05:00:00,5,3,10,0,Autumn,Small_Commercial,56,5944,3,1597,10,0,1,Flat,Premium_Service,23.26,59.61,0,0.1499,0.11,0.036,0,0.713,0.197,0.149,0.171,1.74,0.49,0.965,0.658,3.447,2.353,1.911,1.911,Moderate_Usage
8090,10003,2025-12-04 01:00:00,1,3,12,0,Winter,Residential,40,2220,3,1708,7,0,0,Peak_Valley,Basic,2.39,83.58,0,0.1108,0.183,1.0,0,0.62,0.06,0.303,0.0,2.132,3.42,15.886,1.554,3.318,1.74,1.933,1.933,Moderate_Usage
10037,10003,2026-02-23 04:00:00,4,0,2,0,Winter,Small_Commercial,26,2718,5,1451,19,0,0,Time_of_Use,Green_Energy,2.9,92.99,0,0.1184,0.16,1.0,0,0.848,0.0,0.111,0.0,2.705,2.66,15.974,1.524,4.721,2.132,2.003,2.003,High_Usage
10107,10003,2026-02-26 02:00:00,2,3,2,0,Winter,Residential,70,5728,7,451,23,0,0,Time_of_Use,Premium_Service,6.11,77.71,0,0.1238,0.15,1.0,0,0.59,0.179,0.165,0.0,2.522,2.12,12.803,1.516,4.741,2.705,2.046,2.046,High_Usage
11461,10003,2026-04-23 12:00:00,12,3,4,0,Spring,Residential,55,5316,1,1318,22,0,0,Flat,Basic,26.72,80.04,0,0.1396,0.159,0.061,0,0.032,0.531,0.141,0.0,1.149,0.54,4.542,0.501,3.428,2.522,1.977,1.977,Low_Usage
12921,10003,2026-06-23 08:00:00,8,1,6,0,Summer,Residential,34,2804,7,1175,8,0,0,Time_of_Use,Basic,35.35,59.07,1,0.2022,1.0,0.039,0,0.157,0.512,0.428,0.0,2.76,5.72,10.059,1.59,4.265,1.149,2.033,2.033,High_Usage
13374,10003,2026-07-12 05:00:00,5,6,7,1,Summer,Small_Commercial,30,1863,2,1700,12,0,0,Dynamic_Pricing,Basic,26.64,59.49,0,0.1296,0.154,0.069,0,0.524,0.195,0.0,0.0,1.623,1.54,3.506,0.489,3.36,2.76,2.006,2.006,Moderate_Usage
13456,10003,2026-07-15 15:00:00,15,2,7,0,Summer,Residential,26,3704,4,1681,18,0,0,Peak_Valley,Basic,37.66,53.62,0,0.1192,1.0,0.043,0,0.032,0.097,0.253,0.0,2.127,2.58,12.064,1.355,4.521,1.623,2.014,2.014,Moderate_Usage
13733,10003,2026-07-27 04:00:00,4,0,7,0,Summer,Medium_Commercial,28,1168,1,1040,21,0,0,Dynamic_Pricing,Basic,25.63,70.73,0,0.1394,0.054,0.024,1,0.74,0.128,0.192,0.0,2.313,0.56,3.259,0.859,3.07,2.127,2.031,2.031,High_Usage
14122,10003,2026-08-12 09:00:00,9,2,8,0,Summer,Residential,34,2532,5,1652,16,0,0,Flat,Basic,35.05,44.78,1,0.1474,1.0,0.053,0,0.206,0.124,0.316,0.0,2.564,0.24,10.548,1.444,4.682,2.313,2.061,2.061,High_Usage
14137,10003,2026-08-13 00:00:00,0,3,8,0,Summer,Residential,71,5556,4,1299,5,0,0,Time_of_Use,Premium_Service,29.5,67.88,0,0.1244,0.744,0.077,0,0.891,0.181,0.181,0.0,1.831,2.06,6.019,1.355,3.099,2.564,2.049,2.049,Moderate_Usage
14187,10003,2026-08-15 02:00:00,2,5,8,1,Summer,Small_Commercial,51,6591,6,2421,11,0,0,Time_of_Use,Basic,22.62,85.48,0,0.1281,0.012,0.112,0,0.632,0.134,0.212,0.0,1.957,1.69,1.739,0.426,5.401,1.831,2.044,2.044,Moderate_Usage
987,10004,2025-02-11 02:00:00,2,1,2,0,Winter,Small_Commercial,36,6922,4,2233,18,0,0,Flat,Premium_Service,5.53,83.6,0,0.1369,0.113,1.0,0,0.426,0.151,0.086,0.0,3.018,0.81,13.532,1.392,5.073,3.018,3.018,3.018,Peak_Intensive_Usage
1338,10004,2025-02-25 17:00:00,17,1,2,0,Winter,Residential,22,2494,6,1578,7,0,0,Flat,Basic,13.64,80.61,0,0.1429,0.05,0.208,0,0.316,0.216,0.303,0.0,1.072,0.21,7.3,0.531,4.238,3.018,2.045,2.045,Low_Usage
4185,10004,2025-06-24 08:00:00,8,1,6,0,Summer,Residential,54,2997,5,2668,21,0,0,Dynamic_Pricing,Basic,35.93,54.86,1,0.2295,1.0,0.049,0,0.315,0.653,0.674,0.0,2.653,8.45,10.704,1.763,6.098,1.072,2.248,2.248,High_Usage
5636,10004,2025-08-23 19:00:00,19,5,8,1,Summer,Residential,45,5402,6,1012,10,0,0,Time_of_Use,Basic,27.87,56.96,1,0.1855,0.472,0.034,0,0.948,0.369,0.642,0.0,2.056,4.05,4.555,1.187,3.912,2.653,2.2,2.2,Moderate_Usage
5844,10004,2025-09-01 11:00:00,11,0,9,0,Autumn,Residential,49,1917,6,662,14,0,0,Dynamic_Pricing,Basic,32.18,63.08,0,0.1779,0.79,0.044,0,0.145,0.149,0.117,0.0,1.814,3.29,7.789,1.124,3.882,2.056,2.123,2.123,Moderate_Usage
7554,10004,2025-11-11 17:00:00,17,1,11,0,Autumn,Medium_Commercial,23,7510,7,1437,13,0,1,Flat,Basic,25.89,74.43,0,0.152,0.12,0.104,0,0.232,0.172,0.272,0.0,2.438,0.7,3.639,0.456,4.927,1.814,2.175,2.175,High_Usage
7851,10004,2025-11-24 02:00:00,2,0,11,0,Autumn,Residential,26,5876,7,2273,24,1,1,Time_of_Use,Basic,16.06,71.82,0,0.1312,0.124,0.101,0,0.761,0.164,0.22,4.947,6.163,1.38,5.046,5.3,6.643,2.438,2.745,2.745,Peak_Intensive_Usage
7922,10004,2025-11-27 01:00:00,1,3,11,0,Autumn,Residential,40,2440,4,2235,19,1,0,Peak_Valley,Green_Energy,13.23,74.16,0,0.1175,0.141,0.482,0,0.807,0.0,0.116,0.0,1.957,2.75,7.286,0.946,5.155,6.163,2.646,2.646,Moderate_Usage
10054,10004,2026-02-23 21:00:00,21,0,2,0,Winter,Residential,26,1505,1,2001,6,0,0,Time_of_Use,Basic,4.29,98.0,1,0.1982,0.19,1.0,0,0.809,0.871,0.567,0.0,2.946,5.32,15.183,1.993,2.831,1.957,2.68,2.68,Peak_Intensive_Usage
10995,10004,2026-04-04 02:00:00,2,5,4,1,Spring,Residential,49,2610,2,1125,15,0,0,Peak_Valley,Basic,16.74,70.77,0,0.1124,0.024,0.103,0,0.773,0.187,0.035,0.0,1.17,3.26,4.484,0.449,3.025,2.946,2.529,2.529,Low_Usage
11468,10004,2026-04-23 19:00:00,19,3,4,0,Spring,Medium_Commercial,71,3699,7,847,16,0,0,Flat,Basic,23.86,73.44,1,0.1494,0.006,0.071,0,0.621,0.334,0.821,0.0,2.538,0.44,2.067,0.6,4.577,1.17,2.53,2.53,High_Usage
13544,10004,2026-07-19 07:00:00,7,6,7,1,Summer,Residential,25,1145,1,1514,6,0,0,Flat,Premium_Service,36.42,42.38,1,0.1511,1.0,0.033,0,0.228,0.435,0.507,0.0,2.21,0.61,11.696,1.595,2.344,2.538,2.503,2.503,High_Usage
13806,10004,2026-07-30 05:00:00,5,3,7,0,Summer,Residential,45,5122,5,2115,15,0,0,Time_of_Use,Premium_Service,27.34,65.03,0,0.1267,0.3,0.038,0,0.825,0.08,0.116,0.0,1.518,1.83,4.256,0.707,5.065,2.21,2.427,2.427,Low_Usage
14650,10004,2026-09-03 09:00:00,9,3,9,0,Autumn,Small_Commercial,74,1945,7,2676,5,0,0,Flat,Basic,31.18,61.44,1,0.1447,0.928,0.097,0,0.255,0.241,0.67,0.0,3.047,0.03,6.957,1.551,5.526,1.518,2.471,2.471,Peak_Intensive_Usage
136,10005,2025-01-06 15:00:00,15,0,1,0,Winter,Residential,66,2892,3,1969,5,0,0,Flat,Basic,13.19,81.83,0,0.1477,0.2,0.375,0,0.37,0.08,0.438,0.0,1.572,0.27,7.699,0.885,3.419,1.572,1.572,1.572,Low_Usage
432,10005,2025-01-18 23:00:00,23,5,1,1,Winter,Residential,23,7190,5,570,23,0,0,Peak_Valley,Basic,2.92,92.94,0,0.1081,0.124,1.0,0,0.672,0.107,0.256,0.0,2.493,3.69,15.957,1.505,4.16,1.572,2.032,2.032,High_Usage
744,10005,2025-01-31 23:00:00,23,4,1,0,Winter,Residential,27,4796,3,983,12,0,0,Peak_Valley,Basic,5.73,78.32,0,0.111,0.185,0.953,0,0.775,0.0,0.153,0.0,2.11,3.4,13.119,1.493,2.993,2.493,2.058,2.058,Moderate_Usage
859,10005,2025-02-05 18:00:00,18,2,2,0,Winter,Medium_Commercial,50,4292,7,1903,7,0,1,Dynamic_Pricing,Basic,12.93,80.08,1,0.2076,0.053,0.315,0,0.137,0.089,0.695,0.0,2.696,6.26,7.806,0.643,4.913,2.11,2.218,2.218,High_Usage
1056,10005,2025-02-13 23:00:00,23,3,2,0,Winter,Residential,24,2088,7,2079,14,1,0,Flat,Basic,6.55,87.13,0,0.1564,0.17,1.0,0,0.652,0.113,0.185,0.0,2.525,1.14,12.944,1.539,5.649,2.696,2.279,2.279,High_Usage
3984,10005,2025-06-15 23:00:00,23,6,6,1,Summer,Residential,33,1012,5,2283,9,0,1,Time_of_Use,Basic,28.52,77.13,0,0.1296,0.612,0.107,0,0.578,0.025,0.479,1.884,3.709,1.54,5.746,2.939,4.753,2.525,2.518,2.518,Peak_Intensive_Usage
5413,10005,2025-08-14 12:00:00,12,3,8,0,Summer,Residential,69,1215,5,2474,13,0,0,Time_of_Use,Basic,38.03,53.26,0,0.1259,1.0,0.027,0,0.425,0.591,0.053,0.0,2.205,1.91,12.36,1.594,5.264,3.709,2.473,2.473,Moderate_Usage
5477,10005,2025-08-17 04:00:00,4,6,8,1,Summer,Medium_Commercial,40,1644,1,2634,23,1,0,Peak_Valley,Basic,29.78,52.77,0,0.1135,0.529,0.007,0,0.634,0.046,0.246,0.0,2.884,3.15,6.196,0.911,4.824,2.205,2.524,2.524,Peak_Intensive_Usage
5558,10005,2025-08-20 13:00:00,13,2,8,0,Summer,Residential,53,5914,2,2067,13,0,0,Flat,Basic,37.67,60.87,0,0.1422,1.0,0.003,0,0.286,0.553,0.299,0.0,2.437,0.28,11.796,1.574,3.807,2.884,2.515,2.515,High_Usage
7440,10005,2025-11-06 23:00:00,23,3,11,0,Autumn,Residential,26,7432,1,2117,13,1,0,Dynamic_Pricing,Green_Energy,19.1,67.17,0,0.1318,0.198,0.001,0,0.942,0.119,0.285,0.0,1.343,1.32,2.533,0.638,3.507,2.437,2.397,2.397,Low_Usage
12073,10005,2026-05-19 00:00:00,0,1,5,0,Spring,Residential,45,1675,5,1831,21,1,0,Peak_Valley,Green_Energy,13.1,59.19,0,0.113,0.135,0.563,0,0.779,0.091,0.002,0.0,1.56,3.2,6.716,1.022,5.261,1.343,2.321,2.321,Low_Usage
12264,10005,2026-05-26 23:00:00,23,1,5,0,Spring,Residential,23,5161,6,1816,5,0,0,Dynamic_Pricing,Green_Energy,14.49,68.25,0,0.1089,0.183,0.252,0,0.594,0.067,0.364,0.0,1.736,3.61,6.045,0.779,4.316,1.56,2.272,2.272,Moderate_Usage
13241,10005,2026-07-06 16:00:00,16,0,7,0,Summer,Residential,29,5566,7,1714,23,0,0,Dynamic_Pricing,Basic,31.23,53.34,0,0.1256,0.7,0.001,0,0.172,0.231,0.0,0.0,1.883,1.94,7.256,0.98,6.004,1.736,2.243,2.243,Moderate_Usage
13602,10005,2026-07-21 17:00:00,17,1,7,0,Summer,Medium_Commercial,35,6890,7,1152,16,1,1,Dynamic_Pricing,Green_Energy,32.42,67.42,0,0.1382,0.908,0.067,0,0.207,0.146,0.123,0.0,3.249,0.68,8.186,1.308,4.882,1.883,2.314,2.314,Peak_Intensive_Usage
982,10006,2025-02-10 21:00:00,21,0,2,0,Winter,Small_Commercial,59,7410,1,2041,19,0,0,Time_of_Use,Premium_Service,4.34,80.58,1,0.1943,0.084,1.0,0,0.955,0.702,0.677,0.0,3.187,4.93,14.274,1.873,3.911,3.187,3.187,3.187,Peak_Intensive_Usage
4629,10006,2025-07-12 20:00:00,20,5,7,1,Summer,Small_Commercial,47,3554,2,1854,24,0,0,Time_of_Use,Basic,27.56,60.3,1,0.1978,0.36,0.064,0,0.766,0.632,0.612,0.0,2.581,5.28,4.185,1.122,4.474,3.187,2.884,2.884,High_Usage
